src_instance,src_signal,dst_signal,dst_instance
TIM2,CH1,TI1_1,TIM15
TIM3,CH1,TI1_2,TIM15
TIM4,CH1,TI1_3,TIM15
RCC,lse_ck,TI1_4,TIM15
RCC,csi_ck,TI1_5,TIM15
RCC,MCO2,TI1_6,TIM15
TIM2,CH2,TI2_1,TIM15
TIM3,CH2,TI2_2,TIM15
TIM4,CH2,TI2_3,TIM15
COMP1,comp1_out,BRK_1,TIM15
COMP2,comp2_out,BRK_2,TIM15
DFSDM1,dfsdm_break0,BRK_3,TIM15
RCC,lsi_ck,TI1_1,TIM16
RCC,lse_ck,TI1_2,TIM16
RTC,WKUP_IT,TI1_3,TIM16
COMP1,comp1_out,BRK_1,TIM16
COMP2,comp2_out,BRK_2,TIM16
DFSDM1,dfsdm_break1,BRK_3,TIM16
SPDIFRX,spdifrx_frame_sync,TI1_1,TIM17
RCC,HSE_1MHZ,TI1_2,TIM17
RCC,MCO1,TI1_3,TIM17
COMP1,comp1_out,BRK_1,TIM17
COMP2,comp2_out,BRK_2,TIM17
DFSDM1,dfsdm_break2,BRK_3,TIM17
COMP1,comp1_out,hrtim_evt11,HRTIM
TIM1,TRGO,hrtim_evt12,HRTIM
ADC1,adc1_awd1,hrtim_evt13,HRTIM
COMP2,OUT,hrtim_evt21,HRTIM
TIM2,TRGO,hrtim_evt22,HRTIM
ADC1,adc1_awd2,hrtim_evt23,HRTIM
TIM3,TRGO,hrtim_evt32,HRTIM
ADC1,adc1_awd3,hrtim_evt33,HRTIM
OPAMP1,opamp1_out,hrtim_evt41,HRTIM
TIM7,TRGO,hrtim_evt42,HRTIM
ADC2,adc2_awd1,hrtim_evt43,HRTIM
LPTIM1,lptim1_out,hrtim_evt52,HRTIM
ADC2,adc2_awd2,hrtim_evt53,HRTIM
COMP1,comp1_out,hrtim_evt61,HRTIM
TIM6,TRGO,hrtim_evt62,HRTIM
ADC2,adc2_awd3,hrtim_evt63,HRTIM
COMP2,comp2_out,hrtim_evt71,HRTIM
TIM7,TRGO,hrtim_evt72,HRTIM
TIM6,TRGO,hrtim_evt82,HRTIM
CAN,TTCAN_TMP,hrtim_evt83,HRTIM
OPAMP1,opamp1_out,hrtim_evt91,HRTIM
TIM15,TRGO,hrtim_evt92,HRTIM
CAN,TTCAN_RTP,hrtim_evt93,HRTIM
LPTIM2,lptim2_out,hrtim_evt102,HRTIM
CAN,TTCAN_SOC,hrtim_evt103,HRTIM
COMP1,comp1_out,hrtim_in_flt1,HRTIM
COMP2,comp2_out,hrtim_in_flt2,HRTIM
TIM16,OC,hrtim_upd_en1,HRTIM
TIM17,OC,hrtim_upd_en2,HRTIM
TIM6,TRGO,hrtim_upd_en3,HRTIM
TIM7,TRGO,hrtim_bm_trg,HRTIM
TIM16,OC,hrtim_bm_ck1,HRTIM
TIM17,OC,hrtim_bm_ck2,HRTIM
TIM7,TRGO,hrtim_bm_ck3,HRTIM
RTC,rtc_alarm_a_evt,lptim1_ext_trg0,LPTIM1
RTC,rtc_alarm_b_evt,lptim1_ext_trg1,LPTIM1
RTC,rtc_tamp1_evt,lptim1_ext_trg2,LPTIM1
RTC,rtc_tamp2_evt,lptim1_ext_trg3,LPTIM1
RTC,rtc_tamp3_evt,lptim1_ext_trg4,LPTIM1
COMP1,comp1_out,lptim1_ext_trg5,LPTIM1
COMP2,comp2_out,lptim1_ext_trg6,LPTIM1
COMP1,comp1_out,lptim1_in1_mux1,LPTIM1
COMP2,comp2_out,lptim1_in2_mux2,LPTIM1
RTC,rtc_alarm_a_evt,lptim2_ext_trg0,LPTIM2
RTC,rtc_alarm_b_evt,lptim2_ext_trg1,LPTIM2
RTC,rtc_tamp1_evt,lptim2_ext_trg2,LPTIM2
RTC,rtc_tamp2_evt,lptim2_ext_trg3,LPTIM2
RTC,rtc_tamp3_evt,lptim2_ext_trg4,LPTIM2
COMP1,comp1_out,lptim2_ext_trg5,LPTIM2
COMP2,comp2_out,lptim2_ext_trg6,LPTIM2
COMP1,comp1_out,lptim2_in1_mux1,LPTIM2
COMP2,comp2_out,lptim2_in1_mux2,LPTIM2
COMP1,comp1_out,lptim2_in1_mux3,LPTIM2
COMP2,comp2_out,lptim2_in1_mux3,LPTIM2
COMP2,comp2_out,lptim2_in2_mux1,LPTIM2
LPTIM2,lptim2_out,lptim3_ext_trg0,LPTIM3
LPTIM4,lptim4_out,lptim3_ext_trg2,LPTIM3
LPTIM5,lptim5_out,lptim3_ext_trg3,LPTIM3
SAI1,SAI1_FS_A,lptim3_ext_trg4,LPTIM3
SAI1,SAI1_FS_B,lptim3_ext_trg5,LPTIM3
SAI4,SAI4_FS_A,lptim3_in1_mux1,LPTIM3
SAI4,SAI4_FS_B,lptim3_in1_mux2,LPTIM3
LPTIM2,lptim2_out,lptim4_ext_trg0,LPTIM4
LPTIM3,lptim3_out,lptim4_ext_trg1,LPTIM4
LPTIM5,lptim5_out,lptim4_ext_trg3,LPTIM4
SAI2,SAI2_FS_A,lptim4_ext_trg4,LPTIM4
SAI2,SAI2_FS_B,lptim4_ext_trg5,LPTIM4
LPTIM2,lptim2_out,lptim5_ext_trg0,LPTIM5
LPTIM3,lptim3_out,lptim5_ext_trg1,LPTIM5
LPTIM4,lptim4_out,lptim5_ext_trg2,LPTIM5
SAI4,SAI4_FS_A,lptim5_ext_trg3,LPTIM5
SAI4,SAI4_FS_B,lptim5_ext_trg4,LPTIM5
TIM1,TRGO,dac_ch1/2_trg0,DAC channel 1/channel 2
TIM2,TRGO,dac_ch1/2_trg1,DAC channel 1/channel 2
TIM4,TRGO,dac_ch1/2_trg02,DAC channel 1/channel 2
TIM5,TRGO,dac_ch1/2_trg3,DAC channel 1/channel 2
TIM6,TRGO,dac_ch1/2_trg4,DAC channel 1/channel 2
TIM7,TRGO,dac_ch1/2_trg5,DAC channel 1/channel 2
TIM8,TRGO,dac_ch1/2_trg6,DAC channel 1/channel 2
TIM15,TRGO,dac_ch1/2_trg7,DAC channel 1/channel 2
HRTIM1,hrtim_dac_trg1,dac_ch1/2_trg8,DAC channel 1/channel 2
HRTIM1,hrtim_dac_trg2,dac_ch1/2_trg9,DAC channel 1/channel 2
LPTIM1,lptim1_out,dac_ch1/2_trg10,DAC channel 1/channel 2
LPTIM2,lptim2_out,dac_ch1/2_trg11,DAC channel 1/channel 2
SYSCFG,EXTI9,dac_ch1/2_trg12,DAC channel 1/channel 2
TIM1,TRGO,TRG0,DFSDM1
TIM1,TRGO2,TRG1,DFSDM1
TIM8,TRGO,TRG2,DFSDM1
TIM8,TRGO2,TRG3,DFSDM1
TIM3,TRGO,TRG4,DFSDM1
TIM4,TRGO,TRG5,DFSDM1
TIM16,OC1,TRG6,DFSDM1
TIM6,TRGO,TRG7,DFSDM1
TIM7,TRGO,TRG8,DFSDM1
HRTIM1,hrtim_adc_trg1,TRG9,DFSDM1
HRTIM1,hrtim_adc_trg3,TRG10,DFSDM1
SYSCFG,EXTI11,TRG24,DFSDM1
SYSCFG,EXTI15,TRG25,DFSDM1
LPTIM1,lptim1_out,TRG26,DFSDM1
LPTIM2,lptim2_out,TRG27,DFSDM1
LPTIM3,lptim3_out,TRG28,DFSDM1
TIM1,CC1,adc_ext_trg0,ADC1 / ADC2
TIM1,CC2,adc_ext_trg1,ADC1 / ADC2
TIM1,CC3,adc_ext_trg2,ADC1 / ADC2
TIM2,CC2,adc_ext_trg3,ADC1 / ADC2
TIM3,TRGO,adc_ext_trg4,ADC1 / ADC2
TIM4,CC4,adc_ext_trg5,ADC1 / ADC2
SYSCFG,EXTI11,adc_ext_trg6,ADC1 / ADC2
TIM8,TRGO,adc_ext_trg7,ADC1 / ADC2
TIM8,TRGO2,adc_ext_trg8,ADC1 / ADC2
TIM1,TRGO,adc_ext_trg9,ADC1 / ADC2
TIM1,TRGO2,adc_ext_trg10,ADC1 / ADC2
TIM2,TRGO,adc_ext_trg11,ADC1 / ADC2
TIM4,TRGO,adc_ext_trg12,ADC1 / ADC2
TIM6,TRGO,adc_ext_trg13,ADC1 / ADC2
TIM15,TRGO,adc_ext_trg14,ADC1 / ADC2
TIM3,CC4,adc_ext_trg15,ADC1 / ADC2
HRTIM1,hrtim_adc_trg1,adc_ext_trg16,ADC1 / ADC2
HRTIM1,hrtim_adc_trg3,adc_ext_trg17,ADC1 / ADC2
LPTIM1,lptim1_out,adc_ext_trg18,ADC1 / ADC2
LPTIM2,lptim2_out,adc_ext_trg19,ADC1 / ADC2
LPTIM3,lptim3_out,adc_ext_trg20,ADC1 / ADC2
TIM1,TRGO,adc_jext_trg0,ADC1 / ADC2
TIM1,CC4,adc_jext_trg1,ADC1 / ADC2
TIM2,TRGO,adc_jext_trg2,ADC1 / ADC2
TIM2,CC1,adc_jext_trg3,ADC1 / ADC2
TIM3,CC4,adc_jext_trg4,ADC1 / ADC2
TIM4,TRGO,adc_jext_trg5,ADC1 / ADC2
SYSCFG,EXTI15,adc_jext_trg6,ADC1 / ADC2
TIM8,CC4,adc_jext_trg7,ADC1 / ADC2
TIM1,TRGO2,adc_jext_trg8,ADC1 / ADC2
TIM8,TRGO,adc_jext_trg9,ADC1 / ADC2
TIM8,TRGO2,adc_jext_trg10,ADC1 / ADC2
TIM3,CC3,adc_jext_trg11,ADC1 / ADC2
TIM3,TRGO,adc_jext_trg12,ADC1 / ADC2
TIM3,CC1,adc_jext_trg13,ADC1 / ADC2
TIM6,TRGO,adc_jext_trg14,ADC1 / ADC2
TIM15,TRGO,adc_jext_trg15,ADC1 / ADC2
HRTIM1,hrtim_adc_trg2,adc_jext_trg16,ADC1 / ADC2
HRTIM1,hrtim_adc_trg4,adc_jext_trg17,ADC1 / ADC2
LPTIM1,lptim1_out,adc_jext_trg18,ADC1 / ADC2
LPTIM2,lptim2_out,adc_jext_trg19,ADC1 / ADC2
LPTIM3,lptim2_out,adc_jext_trg20,ADC1 / ADC2
TIM1,CC1,adc_ext_trg0,ADC3
TIM1,CC2,adc_ext_trg1,ADC3
TIM1,CC3,adc_ext_trg2,ADC3
TIM2,CC2,adc_ext_trg3,ADC3
TIM3,TRGO,adc_ext_trg4,ADC3
TIM4,CC4,adc_ext_trg5,ADC3
SYSCFG,EXTI11,adc_ext_trg6,ADC3
TIM8,TRGO,adc_ext_trg7,ADC3
TIM8,TRGO2,adc_ext_trg8,ADC3
TIM1,TRGO,adc_ext_trg9,ADC3
TIM1,TRGO2,adc_ext_trg10,ADC3
TIM2,TRGO,adc_ext_trg11,ADC3
TIM4,TRGO,adc_ext_trg12,ADC3
TIM6,TRGO,adc_ext_trg13,ADC3
TIM15,TRGO,adc_ext_trg14,ADC3
TIM3,CC4,adc_ext_trg15,ADC3
HRTIM1,hrtim_adc_trg1,adc_ext_trg16,ADC3
HRTIM1,hrtim_adc_trg3,adc_ext_trg17,ADC3
LPTIM1,lptim1_out,adc_ext_trg18,ADC3
LPTIM2,lptim2_out,adc_ext_trg19,ADC3
LPTIM3,lptim3_out,adc_ext_trg20,ADC3
TIM1,TRGO,adc_jext_trg0,ADC3
TIM1,CC4,adc_jext_trg1,ADC3
TIM2,TRGO,adc_jext_trg2,ADC3
TIM2,CC1,adc_jext_trg3,ADC3
TIM3,CC4,adc_jext_trg4,ADC3
TIM4,TRGO,adc_jext_trg5,ADC3
SYSCFG,EXTI15,adc_jext_trg6,ADC3
TIM8,CC4,adc_jext_trg7,ADC3
TIM1,TRGO2,adc_jext_trg8,ADC3
TIM8,TRGO,adc_jext_trg9,ADC3
TIM8,TRGO2,adc_jext_trg10,ADC3
TIM3,CC3,adc_jext_trg11,ADC3
TIM3,TRGO,adc_jext_trg12,ADC3
TIM3,CC1,adc_jext_trg13,ADC3
TIM6,TRGO,adc_jext_trg14,ADC3
TIM15,TRGO,adc_jext_trg15,ADC3
HRTIM1,hrtim_adc_trg2,adc_jext_trg16,ADC3
HRTIM1,hrtim_adc_trg4,adc_jext_trg17,ADC3
LPTIM1,OUT,adc_jext_trg18,ADC3
LPTIM2,OUT,adc_jext_trg19,ADC3
LPTIM3,OUT,adc_jext_trg20,ADC3
TIM1,OC5,comp_blk1,COMP1 / COMP2
TIM1,OC3,comp_blk2,COMP1 / COMP2
TIM3,OC3,comp_blk3,COMP1 / COMP2
TIM3,OC4,comp_blk4,COMP1 / COMP2
TIM8,OC5,comp_blk5,COMP1 / COMP2
TIM15,OC1,comp_blk6,COMP1 / COMP2
TIM2,TRGO,SWT0,FDCAN
TIM3,TRGO,SWT1,FDCAN
ETH,PPS,SWT2,FDCAN
HRTIM1,hrtim_dac_trg1,SWT3,FDCAN
TIM2,TRGO,EVT0,FDCAN
TIM3,TRGO,EVT1,FDCAN
ETH,PPS,EVT2,FDCAN
HRTIM1,hrtim_dac_trg1,EVT3,FDCAN
TIM2,TRGO,PTP0,ETH
TIM3,TRGO,PTP1,ETH
HRTIM1,hrtim_dac_trg2,PTP2,ETH
CAN,TMP,PTP3,ETH
