src_instance,src_signal,dst_signal,dst_instance
TIM1,TRGO,ITR0,TIM2
TIM8,TRGO,ITR1,TIM2
TIM3,TRGO,ITR2,TIM2
TIM4,TRGO,ITR3,TIM2
ETH,PPS,ITR4,TIM2
USB1,SOF,ITR5,TIM2
USB2,SOF,ITR6,TIM2
COMP1,comp1_out,ETR1,TIM2
COMP2,comp2_out,ETR2,TIM2
RCC,lse_ck,ETR3,TIM2
SAI1,SAI1_FS_A,ETR4,TIM2
SAI1,SAI1_FS_B,ETR5,TIM2
COMP1,comp1_out,TI4_1,TIM2
COMP2,comp2_out,TI4_2,TIM2
COMP1,comp1_out,TI4_3,TIM2
COMP2,comp2_out,TI4_3,TIM2
TIM1,TRGO,ITR0,TIM3
TIM2,TRGO,ITR1,TIM3
TIM15,TRGO,ITR2,TIM3
TIM4,TRGO,ITR3,TIM3
ETH,PPS,ITR4,TIM3
COMP1,comp1_out,ETR1,TIM3
COMP1,comp1_out,TI1_1,TIM3
COMP2,comp2_out,TI1_2,TIM3
COMP1,comp1_out,TI1_3,TIM3
COMP2,comp2_out,TI1_3,TIM3
TIM1,TRGO,ITR0,TIM4
TIM2,TRGO,ITR1,TIM4
TIM3,TRGO,ITR2,TIM4
TIM8,TRGO,ITR3,TIM4
TIM1,TRGO,ITR0,TIM5
TIM8,TRGO,ITR1,TIM5
TIM3,TRGO,ITR2,TIM5
TIM4,TRGO,ITR3,TIM5
CAN,SOC,ITR6,TIM5
USB1,SOF,ITR7,TIM5
USB2,SOF,ITR8,TIM5
SAI2,SAI2_FS_A,ETR1,TIM5
SAI2,SAI2_FS_B,ETR2,TIM5
CAN,TMP,TI1_1,TIM5
CAN,RTP,TI1_2,TIM5
TIM4,TRGO,ITR0,TIM12
TIM5,TRGO,ITR1,TIM12
TIM13,OC1,ITR2,TIM12
TIM14,OC1,ITR3,TIM12
USB1,SOF,crs_sync2,CRS
USB2,SOF,crs_sync3,CRS
RCC,lse_ck,crs_sync1,CRS
TIM15,TRGO,ITR0,TIM1
TIM2,TRGO,ITR1,TIM1
TIM3,TRGO,ITR2,TIM1
TIM4,TRGO,ITR3,TIM1
COMP1,comp1_out,ETR1,TIM1
COMP2,comp2_out,ETR2,TIM1
ADC1,adc1_awd1,ETR3,TIM1
ADC1,adc1_awd2,ETR4,TIM1
ADC1,adc1_awd3,ETR5,TIM1
ADC3,adc3_awd1,ETR6,TIM1
ADC3,adc3_awd2,ETR7,TIM1
ADC3,adc3_awd3,ETR8,TIM1
COMP1,comp1_out,TI1_1,TIM1
COMP1,comp1_out,BRK_1,TIM1
COMP2,comp2_out,BRK_2,TIM1
DFSDM1,dfsdm1_break0,BRK_3,TIM1
COMP1,comp1_out,BRK2_1,TIM1
COMP2,comp2_out,BRK2_2,TIM1
DFSDM1,dfsdm1_break1,BRK2_3,TIM1
TIM1,TRGO,ITR0,TIM8
TIM2,TRGO,ITR1,TIM8
TIM4,TRGO,ITR2,TIM8
TIM5,TRGO,ITR3,TIM8
COMP1,comp1_out,ETR1,TIM8
COMP2,comp2_out,ETR2,TIM8
ADC2,adc2_awd1,ETR3,TIM8
ADC2,adc2_awd2,ETR4,TIM8
ADC2,adc2_awd3,ETR5,TIM8
ADC3,adc3_awd1,ETR6,TIM8
ADC3,adc3_awd2,ETR7,TIM8
ADC3,adc3_awd3,ETR8,TIM8
COMP2,comp2_out,TI1_1,TIM8
COMP1,comp1_out,BRK_1,TIM8
COMP2,comp2_out,BRK_2,TIM8
DFSDM1,dfsdm1_break2,BRK_3,TIM8
COMP1,comp1_out,BRK2_1,TIM8
COMP2,comp2_out,BRK2_2,TIM8
DFSDM1,dfsdm1_break3,BRK2_3,TIM8
TIM1,TRGO,ITR0,TIM15
TIM3,TRGO,ITR1,TIM15
TIM16,OC1,ITR2,TIM15
TIM17,OC1,ITR3,TIM15
