src_instance,src_signal,dst_signal,dst_instance
ADC1,adc1_dma,dmamux1_req_in9,DMAMUX1
ADC2,adc2_dma,dmamux1_req_in10,DMAMUX1
TIM1,tim1_ch1_dma,dmamux1_req_in11,DMAMUX1
TIM1,tim1_ch2_dma,dmamux1_req_in12,DMAMUX1
TIM1,tim1_ch3_dma,dmamux1_req_in13,DMAMUX1
TIM1,tim1_ch4_dma,dmamux1_req_in14,DMAMUX1
TIM1,tim1_up_dma,dmamux1_req_in15,DMAMUX1
TIM1,tim1_trig_dma,dmamux1_req_in16,DMAMUX1
TIM1,tim1_com_dma,dmamux1_req_in17,DMAMUX1
TIM2,tim2_ch1_dma,dmamux1_req_in18,DMAMUX1
TIM2,tim2_ch2_dma,dmamux1_req_in19,DMAMUX1
TIM2,tim2_ch3_dma,dmamux1_req_in20,DMAMUX1
TIM2,tim2_ch4_dma,dmamux1_req_in21,DMAMUX1
TIM2,tim2_up_dma,dmamux1_req_in22,DMAMUX1
TIM3,tim3_ch1_dma,dmamux1_req_in23,DMAMUX1
TIM3,tim3_ch2_dma,dmamux1_req_in24,DMAMUX1
TIM3,tim3_ch3_dma,dmamux1_req_in25,DMAMUX1
TIM3,tim3_ch4_dma,dmamux1_req_in26,DMAMUX1
TIM3,tim3_up_dma,dmamux1_req_in27,DMAMUX1
TIM3,tim3_trig_dma,dmamux1_req_in28,DMAMUX1
TIM4,tim4_ch1_dma,dmamux1_req_in29,DMAMUX1
TIM4,tim4_ch2_dma,dmamux1_req_in30,DMAMUX1
TIM4,tim4_ch3_dma,dmamux1_req_in31,DMAMUX1
TIM4,tim4_up_dma,dmamux1_req_in32,DMAMUX1
I2C1,i2c1_rx_dma,dmamux1_req_in33,DMAMUX1
I2C1,i2c1_tx_dma,dmamux1_req_in34,DMAMUX1
I2C2,i2c2_rx_dma,dmamux1_req_in35,DMAMUX1
I2C2,i2c2_tx_dma,dmamux1_req_in36,DMAMUX1
SPI1,spi1_rx_dma,dmamux1_req_in37,DMAMUX1
SPI1,spi1_tx_dma,dmamux1_req_in38,DMAMUX1
SPI2,spi2_rx_dma,dmamux1_req_in39,DMAMUX1
SPI2,spi2_tx_dma,dmamux1_req_in40,DMAMUX1
USART1,usart1_rx_dma,dmamux1_req_in41,DMAMUX1
USART1,usart1_tx_dma,dmamux1_req_in42,DMAMUX1
USART2,usart2_rx_dma,dmamux1_req_in43,DMAMUX1
USART2,usart2_tx_dma,dmamux1_req_in44,DMAMUX1
USART3,usart3_rx_dma,dmamux1_req_in45,DMAMUX1
USART3,usart3_tx_dma,dmamux1_req_in46,DMAMUX1
TIM8,tim8_ch1_dma,dmamux1_req_in47,DMAMUX1
TIM8,tim8_ch2_dma,dmamux1_req_in48,DMAMUX1
TIM8,tim8_ch3_dma,dmamux1_req_in49,DMAMUX1
TIM8,tim8_ch4_dma,dmamux1_req_in50,DMAMUX1
TIM8,tim8_up_dma,dmamux1_req_in51,DMAMUX1
TIM8,tim8_trig_dma,dmamux1_req_in52,DMAMUX1
TIM8,tim8_com_dma,dmamux1_req_in53,DMAMUX1
TIM3,tim5_ch1_dma,dmamux1_req_in55,DMAMUX1
TIM3,tim5_ch2_dma,dmamux1_req_in56,DMAMUX1
TIM3,tim5_ch3_dma,dmamux1_req_in57,DMAMUX1
TIM3,tim5_ch4_dma,dmamux1_req_in58,DMAMUX1
TIM3,tim5_up_dma,dmamux1_req_in59,DMAMUX1
TIM3,tim5_trig_dma,dmamux1_req_in60,DMAMUX1
SPI3,spi3_rx_dma,dmamux1_req_in61,DMAMUX1
SPI3,spi3_tx_dma,dmamux1_req_in62,DMAMUX1
UART4,uart4_rx_dma,dmamux1_req_in63,DMAMUX1
UART4,uart4_tx_dma,dmamux1_req_in64,DMAMUX1
UART5,uart5_rx_dma,dmamux1_req_in65,DMAMUX1
UART5,uart5_tx_dma,dmamux1_req_in66,DMAMUX1
DAC1,dac_ch1_dma,dmamux1_req_in67,DMAMUX1
DAC2,dac_ch2_dma,dmamux1_req_in68,DMAMUX1
TIM6,tim6_up_dma,dmamux1_req_in69,DMAMUX1
TIM7,tim7_up_dma,dmamux1_req_in70,DMAMUX1
USART6,usart6_rx_dma,dmamux1_req_in71,DMAMUX1
USART6,usart6_tx_dma,dmamux1_req_in72,DMAMUX1
I2C3,i2c3_rx_dma,dmamux1_req_in73,DMAMUX1
I2C3,i2c3_tx_dma,dmamux1_req_in74,DMAMUX1
DCMI,dcmi_dma,dmamux1_req_in75,DMAMUX1
CRYP,cryp_in_dma,dmamux1_req_in76,DMAMUX1
CRYP,cryp_out_dma,dmamux1_req_in77,DMAMUX1
HASH,hash_in_dma,dmamux1_req_in78,DMAMUX1
UART7,uart7_rx_dma,dmamux1_req_in79,DMAMUX1
UART7,uart7_tx_dma,dmamux1_req_in80,DMAMUX1
UART8,uart8_rx_dma,dmamux1_req_in81,DMAMUX1
UART8,uart8_tx_dma,dmamux1_req_in82,DMAMUX1
SPI4,spi4_rx_dma,dmamux1_req_in83,DMAMUX1
SPI4,spi4_tx_dma,dmamux1_req_in84,DMAMUX1
SPI5,spi5_rx_dma,dmamux1_req_in85,DMAMUX1
SPI5,spi5_tx_dma,dmamux1_req_in86,DMAMUX1
SAI1,sai1_a_dma,dmamux1_req_in87,DMAMUX1
SAI1,sai1_b_dma,dmamux1_req_in88,DMAMUX1
SAI2,sai2_a_dma,dmamux1_req_in89,DMAMUX1
SAI2,sai2_b_dma,dmamux1_req_in90,DMAMUX1
SWPMI,swpmi_rx_dma,dmamux1_req_in91,DMAMUX1
SWPMI,swpmi_tx_dma,dmamux1_req_in92,DMAMUX1
SPDIFRX,spdifrx_dt_dma,dmamux1_req_in93,DMAMUX1
SPDIFRX,spdifrx_cs_dma,dmamux1_req_in94,DMAMUX1
HRTIM1,hrtim_dma1,dmamux1_req_in95,DMAMUX1
HRTIM1,hrtim_dma2,dmamux1_req_in96,DMAMUX1
HRTIM1,hrtim_dma3,dmamux1_req_in97,DMAMUX1
HRTIM1,hrtim_dma4,dmamux1_req_in98,DMAMUX1
HRTIM1,hrtim_dma5,dmamux1_req_in99,DMAMUX1
HRTIM1,hrtim_dma6,dmamux1_req_in100,DMAMUX1
DFSDM1,dfsdm1_dma0,dmamux1_req_in101,DMAMUX1
DFSDM1,dfsdm1_dma1,dmamux1_req_in102,DMAMUX1
DFSDM1,dfsdm1_dma2,dmamux1_req_in103,DMAMUX1
DFSDM1,dfsdm1_dma3,dmamux1_req_in104,DMAMUX1
TIM15,tim15_ch1_dma,dmamux1_req_in105,DMAMUX1
TIM15,tim15_up_dma,dmamux1_req_in106,DMAMUX1
TIM15,tim15_trig_dma,dmamux1_req_in107,DMAMUX1
TIM15,tim15_com_dma,dmamux1_req_in108,DMAMUX1
TIM16,tim16_ch1_dma,dmamux1_req_in109,DMAMUX1
TIM16,tim16_up_dma,dmamux1_req_in110,DMAMUX1
TIM17,tim17_ch1_mda,dmamux1_req_in111,DMAMUX1
TIM17,tim17_up_dma,dmamux1_req_in112,DMAMUX1
SAI3,sai3_a_dma,dmamux1_req_in113,DMAMUX1
SAI3,sai3_b_dma,dmamux1_req_in114,DMAMUX1
ADC3,adc3_dma,dmamux1_req_in115,DMAMUX1
DMAMUX1,dmamux1_evt0,dmamux1_gen0,DMAMUX1
DMAMUX1,dmamux1_evt1,dmamux1_gen1,DMAMUX1
DMAMUX1,dmamux1_evt2,dmamux1_gen2,DMAMUX1
LPTIM1,lptim1_out,dmamux1_gen3,DMAMUX1
LPTIM2,lptim2_out,dmamux1_gen4,DMAMUX1
LPTIM3,lptim3_out,dmamux1_gen5,DMAMUX1
EXTI,exti_exti0_it,dmamux1_gen6,DMAMUX1
TIM12,tim12_trgo,dmamux1_gen7,DMAMUX1
DMAMUX1,dmamux1_evt0,dmamux1_trg0,DMAMUX1
DMAMUX1,dmamux1_evt1,dmamux1_trg1,DMAMUX1
DMAMUX1,dmamux1_evt2,dmamux1_trg2,DMAMUX1
LPTIM1,lptim1_out,dmamux1_trg3,DMAMUX1
LPTIM2,lptim2_out,dmamux1_trg4,DMAMUX1
LPTIM3,lptim3_out,dmamux1_trg5,DMAMUX1
EXTI,exti_exti0_it,dmamux1_trg6,DMAMUX1
TIM12,tim12_trgo,dmamux1_trg7,DMAMUX1
DMAMUX1,dmamux1_req_out0,dma1_str0,DMA1
DMAMUX1,dmamux1_req_out1,dma1_str1,DMA1
DMAMUX1,dmamux1_req_out2,dma1_str2,DMA1
DMAMUX1,dmamux1_req_out3,dma1_str3,DMA1
DMAMUX1,dmamux1_req_out4,dma1_str4,DMA1
DMAMUX1,dmamux1_req_out5,dma1_str5,DMA1
DMAMUX1,dmamux1_req_out6,dma1_str6,DMA1
DMAMUX1,dmamux1_req_out7,dma1_str7,DMA1
DMAMUX1,dmamux1_req_out8,dma2_str0,DMA2
DMAMUX1,dmamux1_req_out9,dma2_str1,DMA2
DMAMUX1,dmamux1_req_out10,dma2_str2,DMA2
DMAMUX1,dmamux1_req_out11,dma2_str3,DMA2
