src_instance,src_signal,dst_signal,dst_instance
SYSCFG,exti0_wkup,WKUP0,EXTI
SYSCFG,exti1_wkup,WKUP1,EXTI
SYSCFG,exti2_wkup,WKUP2,EXTI
SYSCFG,exti3_wkup,WKUP3,EXTI
SYSCFG,exti4_wkup,WKUP4,EXTI
SYSCFG,exti5_wkup,WKUP5,EXTI
SYSCFG,exti6_wkup,WKUP6,EXTI
SYSCFG,exti7_wkup,WKUP7,EXTI
SYSCFG,exti8_wkup,WKUP8,EXTI
SYSCFG,exti9_wkup,WKUP9,EXTI
SYSCFG,exti10_wkup,WKUP10,EXTI
SYSCFG,exti11_wkup,WKUP11,EXTI
SYSCFG,exti12_wkup,WKUP12,EXTI
SYSCFG,exti13_wkup,WKUP13,EXTI
SYSCFG,exti14_wkup,WKUP14,EXTI
SYSCFG,exti15_wkup,WKUP15,EXTI
PWR,pvd_avd_wkup,WKUP16,EXTI
RTC,ALARMS,WKUP17,EXTI
RTC,TAMPERTIMESTAMP,WKUP18,EXTI
RCC,CSS_LSE,WKUP18,EXTI
RTC,WKUP,WKUP19,EXTI
COMP1,comp1_out,WKUP20,EXTI
COMP2,comp2_out,WKUP21,EXTI
I2C1,i2c1_wkup,WKUP22,EXTI
I2C2,i2c2_wkup,WKUP23,EXTI
I2C3,i2c3_wkup,WKUP24,EXTI
I2C4,i2c4_wkup,WKUP25,EXTI
USART1,usart1_wkup,WKUP26,EXTI
USART2,usart2_wkup,WKUP27,EXTI
Peripheral,Signal,Signal,Peripheral
USART3,usart3_wkup,WKUP28,EXTI
USART6,usart6_wkup,WKUP29,EXTI
UART4,uart4_wkup,WKUP30,EXTI
UART5,uart5_wkup,WKUP31,EXTI
UART7,uart7_wkup,WKUP32,EXTI
UART8,uart8_wkup,WKUP33,EXTI
LPUART,lpuart_rx_wkup,WKUP34,EXTI
LPUART,lpuart_tx_wkup,WKUP35,EXTI
SPI1,spi1_wkup,WKUP36,EXTI
SPI2,spi2_wkup,WKUP37,EXTI
SPI3,spi3_wkup,WKUP38,EXTI
SPI4,spi4_wkup,WKUP39,EXTI
SPI5,spi5_wkup,WKUP40,EXTI
SPI6,spi6_wkup,WKUP41,EXTI
MDIOS,mdios_wkup,WKUP42,EXTI
USB1,usb1_wkup,WKUP43,EXTI
USB2,usb2_wkup,WKUP44,EXTI
DSI,dsi_it,WKUP46,EXTI
LPTIM1,lptim1_wkup,WKUP47,EXTI
LPTIM2,lptim2_wkup,WKUP48,EXTI
LPTIM2,lptim2_out,WKUP49,EXTI
LPTIM3,lptim3_wkup,WKUP50,EXTI
LPTIM3,lptim3_out,WKUP51,EXTI
LPTIM4,lptim4_wkup,WKUP52,EXTI
LPTIM5,lptim5_wkup,WKUP53,EXTI
SWPMI,swpmi_wkup,WKUP54,EXTI
Peripheral,Signal,Signal,Peripheral
PWR,pwr_wkup1_wkup,WKUP55,EXTI
PWR,pwr_wkup2_wkup,WKUP56,EXTI
PWR,pwr_wkup3_wkup,WKUP57,EXTI
PWR,pwr_wkup4_wkup,WKUP58,EXTI
PWR,pwr_wkup5_wkup,WKUP59,EXTI
PWR,pwr_wkup6_wkup,WKUP60,EXTI
RCC,rcc_it,WKUP61,EXTI
I2C4,i2c4_ev_it,WKUP62,EXTI
I2C4,i2c4_err_it,WKUP63,EXTI
LPUART1,lpuart1_it,WKUP64,EXTI
SPI6,spi6_it,WKUP64,EXTI
BDMA,bdma_ch0_it,WKUP66,EXTI
BDMA,bdma_ch1_it,WKUP67,EXTI
BDMA,bdma_ch2_it,WKUP68,EXTI
BDMA,bdma_ch3_it,WKUP69,EXTI
BDMA,bdma_ch4_it,WKUP70,EXTI
BDMA,bdma_ch5_it,WKUP71,EXTI
BDMA,bdma_ch6_it,WKUP72,EXTI
BDMA,bdma_ch7_it,WKUP73,EXTI
DMAMUX2,dmamux2_it,WKUP74,EXTI
ADC3,adc3_it,WKUP75,EXTI
SAI4,sai4_gbl_it,WKUP76,EXTI
HSEM,hsem_int0_it,WKUP77,EXTI
HSEM,hsem_int1_it,WKUP78,EXTI
CPU2,cpu2_sev_it,WKUP79,EXTI
CPU1,cpu1_sev_it,WKUP80,EXTI
WWDG1,wwdg1_out_rst,WKUP82,EXTI
WWDG2,wwdg2_out_rst,WKUP84,EXTI
CEC,cec_wkup,WKUP85,EXTI
ETH,eth,WKUP86,EXTI
RCC,hse_css_rcc_wkup,WKUP87,EXTI
