src_instance,src_signal,dst_signal,dst_instance
DMA1,dma1_tcif0,mdma_str0,MDMA
DMA1,dma1_tcif1,mdma_str1,MDMA
DMA1,dma1_tcif2,mdma_str2,MDMA
DMA1,dma1_tcif3,mdma_str3,MDMA
DMA1,dma1_tcif4,mdma_str4,MDMA
DMA1,dma1_tcif5,mdma_str5,MDMA
DMA1,dma1_tcif6,mdma_str6,MDMA
DMA1,dma1_tcif7,mdma_str7,MDMA
DMA2,dma2_tcif0,mdma_str8,MDMA
DMA2,dma2_tcif1,mdma_str9,MDMA
DMA2,dma2_tcif2,mdma_str10,MDMA
DMA2,dma2_tcif3,mdma_str11,MDMA
DMA2,dma2_tcif4,mdma_str12,MDMA
DMA2,dma2_tcif5,mdma_str13,MDMA
DMA2,dma2_tcif6,mdma_str14,MDMA
DMA2,dma2_tcif7,mdma_str15,MDMA
LTDC,ltdc_li_it,mdma_str16,MDMA
JPEG,jpeg_ift_trg,mdma_str17,MDMA
JPEG,jpeg_ifnt_trg,mdma_str18,MDMA
JPEG,jpeg_oft_trg,mdma_str19,MDMA
JPEG,jpeg_ofne_trg,mdma_str20,MDMA
JPEG,jpeg_oec_trg,mdma_str21,MDMA
QUADSPI,quadspi_ft_trg,mdma_str22,MDMA
QUADSPI,quadspi_tc_trg,mdma_str23,MDMA
DMA2D,dma2d_clut_trg,mdma_str24,MDMA
DMA2D,dma2d_tc_trg,mdma_str25,MDMA
DMA2D,dma2d_tw_trg,mdma_str26,MDMA
DSI,dsi_te_trg,mdma_str27,MDMA
DSI,dsi_eor_trg,mdma_str28,MDMA
SDMMC1,sdmmc1_buffend_trg,mdma_str30,MDMA
SDMMC1,sdmmc1_cmdend_trg,mdma_str31,MDMA
SDMMC1,sdmmc1_dataend_trg,mdma_str29,MDMA
