Pin name;WLCSP156;UFBGA169;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PE2;D9;A2;1;1;C3;I/O;FT_h;TRACECLK;;SAI1_CK1;;;SPI4_SCK;SAI1_MCLK_A;;SAI4_MCLK_A;QUADSPI_BK1_IO2;SAI4_CK1;ETH_MII_TXD3;FMC_A23;;;EVENTOUT;TRACECLK, SAI1_CK1, SPI4_SCK, SAI1_MCLK_A, SAI4_MCLK_A, QUADSPI_BK1_IO2, SAI4_CK1, ETH_MII_TXD3, FMC_A23, EVENTOUT;;;
PE3;D10;C3;2;2;D3;I/O;FT_h;TRACED0;;;;TIM15_BKIN;;SAI1_SD_B;;SAI4_SD_B;;;;FMC_A19;;;EVENTOUT;TRACED0, TIM15_BKIN, SAI1_SD_B, SAI4_SD_B, FMC_A19, EVENTOUT;;;
PE4;B12;D3;3;3;D2;I/O;FT_h;TRACED1;;SAI1_D2;DFSDM1_DATIN3;TIM15_CH1N;SPI4_NSS;SAI1_FS_A;;SAI4_FS_A;;SAI4_D2;;FMC_A20;DCMI_D4;LCD_B0;EVENTOUT;TRACED1, SAI1_D2, DFSDM1_DATIN3, TIM15_CH1N, SPI4_NSS, SAI1_FS_A, SAI4_FS_A, SAI4_D2, FMC_A20, DCMI_D4, LCD_B0, EVENTOUT;;;
PE5;C11;E4;4;4;D1;I/O;FT_h;TRACED2;;SAI1_CK2;DFSDM1_CKIN3;TIM15_CH1;SPI4_MISO;SAI1_SCK_A;;SAI4_SCK_A;;SAI4_CK2;;FMC_A21;DCMI_D6;LCD_G0;EVENTOUT;TRACED2, SAI1_CK2, DFSDM1_CKIN3, TIM15_CH1, SPI4_MISO, SAI1_SCK_A, SAI4_SCK_A, SAI4_CK2, FMC_A21, DCMI_D6, LCD_G0, EVENTOUT;;;
PE6;E8;C2;5;5;E5;I/O;FT_h;TRACED3;TIM1_BKIN2;SAI1_D1;;TIM15_CH2;SPI4_MOSI;SAI1_SD_A;;SAI4_SD_A;SAI4_D1;SAI2_MCLK_B;TIM1_BKIN2_COMP12;FMC_A22;DCMI_D7;LCD_G1;EVENTOUT;TRACED3, TIM1_BKIN2, SAI1_D1, TIM15_CH2, SPI4_MOSI, SAI1_SD_A, SAI4_SD_A, SAI4_D1, SAI2_MCLK_B, TIM1_BKIN2_COMP12, FMC_A22, DCMI_D7, LCD_G1, EVENTOUT;;;
VSS;;A1;6;6;A1;S;;;;;;;;;;;;;;;;;;;;;
VDD;;A9;7;7;;S;;;;;;;;;;;;;;;;;;;;;
VBAT;B13;B1;8;8;B1;S;;;;;;;;;;;;;;;;;;;;;
VSS;D11;;;;B2;S;;;;;;;;;;;;;;;;;;;;;
PI8;;;;9;E4;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;RTC_TAMP2/WKUP3;;
PC13;E9;E3;9;10;E3;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;RTC_TAMP1/RTC_TS/WKUP4;;
PC14-OSC32_IN(OSC32_IN);C13;C1;10;11;C2;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;OSC32_IN;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
PC15-OSC32_OUT(OSC32_OUT);C12;D2;11;12;C1;I/O;FT;;;;;;;;;;;;;;;;EVENTOUT;EVENTOUT;OSC32_OUT;1: When this pin/ball was previously configured as an oscillator, the oscillator function is kept during and after a reset. This is valid for all resets except for power-on reset.;
PI9;;;;13;E2;I/O;FT_h;;;;;;;;;UART4_RX;FDCAN1_RX;;;FMC_D30;;LCD_VSYNC;EVENTOUT;UART4_RX, FDCAN1_RX, FMC_D30, LCD_VSYNC, EVENTOUT;;;
PI10;;;;14;F3;I/O;FT_h;;;;;;;;;;;;ETH_MII_RX_ER;FMC_D31;;LCD_HSYNC;EVENTOUT;ETH_MII_RX_ER, FMC_D31, LCD_HSYNC, EVENTOUT;;;
PI11;;;;15;F4;I/O;FT;;;;;;;;;;LCD_G6;OTG_HS_ULPI_DIR;;;;;EVENTOUT;LCD_G6, OTG_HS_ULPI_DIR, EVENTOUT;WKUP5;;
VSS;;B4;12;16;A17;S;;;;;;;;;;;;;;;;;;;;;
VDD;D13;E2;13;17;E6;S;;;;;;;;;;;;;;;;;;;;;
VSSSMPS;D12;F2;14;18;F2;S;;;;;;;;;;;;;;;;;;;;;
VLXSMPS;E12;E1;15;19;E1;S;;;;;;;;;;;;;;;;;;;;;
VDDSMPS;E13;F1;16;20;F1;S;;;;;;;;;;;;;;;;;;;;;
VFBSMPS;E11;F3;17;21;G2;S;;;;;;;;;;;;;;;;;;;;;
PF0;E10;F4;18;22;G4;I/O;FT_f;;;;;I2C2_SDA;;;;;;;;FMC_A0;;;EVENTOUT;I2C2_SDA, FMC_A0, EVENTOUT;;;
PF1;F9;F5;19;23;G3;I/O;FT_f;;;;;I2C2_SCL;;;;;;;;FMC_A1;;;EVENTOUT;I2C2_SCL, FMC_A1, EVENTOUT;;;
PF2;F12;F6;20;24;G1;I/O;FT;;;;;I2C2_SMBA;;;;;;;;FMC_A2;;;EVENTOUT;I2C2_SMBA, FMC_A2, EVENTOUT;;;
PI12;;;;;H1;I/O;FT;;;;;;;;;;;;;;;LCD_HSYNC;EVENTOUT;LCD_HSYNC, EVENTOUT;;;
PI13;;;;;H2;I/O;FT;;;;;;;;;;;;;;;LCD_VSYNC;EVENTOUT;LCD_VSYNC, EVENTOUT;;;
PI14;;;;;H3;I/O;FT_h;;;;;;;;;;;;;;;LCD_CLK;EVENTOUT;LCD_CLK, EVENTOUT;;;
PF3;F13;G2;21;25;H4;I/O;FT_ha;;;;;;;;;;;;;FMC_A3;;;EVENTOUT;FMC_A3, EVENTOUT;ADC3_INP5;;
PF4;F11;G1;22;26;J5;I/O;FT_ha;;;;;;;;;;;;;FMC_A4;;;EVENTOUT;FMC_A4, EVENTOUT;ADC3_INN5, ADC3_INP9;;
PF5;F10;G3;23;27;J4;I/O;FT_ha;;;;;;;;;;;;;FMC_A5;;;EVENTOUT;FMC_A5, EVENTOUT;ADC3_INP4;;
VSS;G12;;24;28;C10;S;;;;;;;;;;;;;;;;;;;;;
VDD;G13;H1;25;29;E9;S;;;;;;;;;;;;;;;;;;;;;
PF6;;G4;26;30;K2;I/O;FT_ha;;TIM16_CH1;;;;SPI5_NSS;SAI1_SD_B;UART7_RX;SAI4_SD_B;QUADSPI_BK1_IO3;;;;;;EVENTOUT;TIM16_CH1, SPI5_NSS, SAI1_SD_B, UART7_RX, SAI4_SD_B, QUADSPI_BK1_IO3, EVENTOUT;ADC3_INN4, ADC3_INP8;;
PF7;;G5;27;31;K3;I/O;FT_ha;;TIM17_CH1;;;;SPI5_SCK;SAI1_MCLK_B;UART7_TX;SAI4_MCLK_B;QUADSPI_BK1_IO2;;;;;;EVENTOUT;TIM17_CH1, SPI5_SCK, SAI1_MCLK_B, UART7_TX, SAI4_MCLK_B, QUADSPI_BK1_IO2, EVENTOUT;ADC3_INP3;;
PF8;;G6;28;32;K4;I/O;FT_ha;;TIM16_CH1N;;;;SPI5_MISO;SAI1_SCK_B;UART7_RTS/UART7_DE;SAI4_SCK_B;TIM13_CH1;QUADSPI_BK1_IO0;;;;;EVENTOUT;TIM16_CH1N, SPI5_MISO, SAI1_SCK_B, UART7_RTS/UART7_DE, SAI4_SCK_B, TIM13_CH1, QUADSPI_BK1_IO0, EVENTOUT;ADC3_INN3, ADC3_INP7;;
