Pin name;LQFP144;UFBGA176+25;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
PA0_C;;R3;;;T1;ANA;TT_a;;;;;;;;;;;;;;;;;;ADC12_INN1, ADC12_INP0;2: Pxy_C and Pxy pins/balls are two separate pads (analog switch open). The analog switch is configured through a SYSCFG register. Refer to the product reference manual for a detailed description of the switch configuration bits.;
PA1;38;P2;42;46;N4;I/O;FT_ha;;TIM2_CH2;TIM5_CH2;LPTIM3_OUT;TIM15_CH1N;;;USART2_RTS/USART2_DE;UART4_RX;QUADSPI_BK1_IO3;SAI2_MCLK_B;ETH_MII_RX_CLK/ETH_RMII_REF_CLK;;;LCD_R2;EVENTOUT;TIM2_CH2, TIM5_CH2, LPTIM3_OUT, TIM15_CH1N, USART2_RTS/USART2_DE, UART4_RX, QUADSPI_BK1_IO3, SAI2_MCLK_B, ETH_MII_RX_CLK/ETH_RMII_REF_CLK, LCD_R2, EVENTOUT;ADC1_INN16, ADC1_INP17;2: Pxy_C and Pxy pins/balls are two separate pads (analog switch open). The analog switch is configured through a SYSCFG register. Refer to the product reference manual for a detailed description of the switch configuration bits.;
PA1_C;;P3;;;T2;ANA;TT_a;;;;;;;;;;;;;;;;;;ADC12_INP1;2: Pxy_C and Pxy pins/balls are two separate pads (analog switch open). The analog switch is configured through a SYSCFG register. Refer to the product reference manual for a detailed description of the switch configuration bits.;
PA2;39;R2;43;47;N3;I/O;FT_a;;TIM2_CH3;TIM5_CH3;LPTIM4_OUT;TIM15_CH1;;;USART2_TX;SAI2_SCK_B;;;ETH_MDIO;MDIOS_MDIO;;LCD_R1;EVENTOUT;TIM2_CH3, TIM5_CH3, LPTIM4_OUT, TIM15_CH1, USART2_TX, SAI2_SCK_B, ETH_MDIO, MDIOS_MDIO, LCD_R1, EVENTOUT;ADC12_INP14, WKUP2;;
PH2;;N4;;48;N2;I/O;FT_ha;;LPTIM1_IN2;;;;;;;;QUADSPI_BK2_IO0;SAI2_SCK_B;ETH_MII_CRS;FMC_SDCKE0;;LCD_R0;EVENTOUT;LPTIM1_IN2, QUADSPI_BK2_IO0, SAI2_SCK_B, ETH_MII_CRS, FMC_SDCKE0, LCD_R0, EVENTOUT;ADC3_INP13;;
VDD;;G4;44;49;F5;S;;;;;;;;;;;;;;;;;;;;;
VSS;;F7;45;50;C16;S;;;;;;;;;;;;;;;;;;;;;
PH3;;R4;;51;P2;I/O;FT_ha;;;;;;;;;;QUADSPI_BK2_IO1;SAI2_MCLK_B;ETH_MII_COL;FMC_SDNE0;;LCD_R1;EVENTOUT;QUADSPI_BK2_IO1, SAI2_MCLK_B, ETH_MII_COL, FMC_SDNE0, LCD_R1, EVENTOUT;ADC3_INN13, ADC3_INP14;;
PH4;;P4;;52;P3;I/O;FT_fa;;;;;I2C2_SCL;;;;;LCD_G5;OTG_HS_ULPI_NXT;;;;LCD_G4;EVENTOUT;I2C2_SCL, LCD_G5, OTG_HS_ULPI_NXT, LCD_G4, EVENTOUT;ADC3_INN14, ADC3_INP15;;
PH5;;R5;;53;P4;I/O;FT_fa;;;;;I2C2_SDA;SPI5_NSS;;;;;;;FMC_SDNWE;;;EVENTOUT;I2C2_SDA, SPI5_NSS, FMC_SDNWE, EVENTOUT;ADC3_INN15, ADC3_INP16;;
PA3;40;N5;46;54;U2;I/O;FT_ha;;TIM2_CH4;TIM5_CH4;LPTIM5_OUT;TIM15_CH2;;;USART2_RX;;LCD_B2;OTG_HS_ULPI_D0;ETH_MII_COL;;;LCD_B5;EVENTOUT;TIM2_CH4, TIM5_CH4, LPTIM5_OUT, TIM15_CH2, USART2_RX, LCD_B2, OTG_HS_ULPI_D0, ETH_MII_COL, LCD_B5, EVENTOUT;ADC12_INP15;;
VSS;41;F8;47;55;;S;;;;;;;;;;;;;;;;;;;;;
VDD;42;H12;48;56;G5;S;;;;;;;;;;;;;;;;;;;;;
