Pin name;LQFP144;UFBGA176+25;LQFP176;LQFP208;TFBGA240+25;Pin type;I/O structure;AF0;AF1;AF2;AF3;AF4;AF5;AF6;AF7;AF8;AF9;AF10;AF11;AF12;AF13;AF14;AF15;Alternate functions;Additional functions;Footnotes;Remarks
VSS;;G9;;;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;;M13;S;;;;;;;;;;;;;;;;;;;;;
PH9;;M14;;95;R13;I/O;FT_h;;;TIM12_CH2;;I2C3_SMBA;;;;;;;;FMC_D17;DCMI_D0;LCD_R3;EVENTOUT;TIM12_CH2, I2C3_SMBA, FMC_D17, DCMI_D0, LCD_R3, EVENTOUT;;;
PH10;;N14;;96;P13;I/O;FT_h;;;TIM5_CH1;;I2C4_SMBA;;;;;;;;FMC_D18;DCMI_D1;LCD_R4;EVENTOUT;TIM5_CH1, I2C4_SMBA, FMC_D18, DCMI_D1, LCD_R4, EVENTOUT;;;
PH11;;M13;;97;P14;I/O;FT_fh;;;TIM5_CH2;;I2C4_SCL;;;;;;;;FMC_D19;DCMI_D2;LCD_R5;EVENTOUT;TIM5_CH2, I2C4_SCL, FMC_D19, DCMI_D2, LCD_R5, EVENTOUT;;;
PH12;;N15;;98;R14;I/O;FT_fh;;;TIM5_CH3;;I2C4_SDA;;;;;;;;FMC_D20;DCMI_D3;LCD_R6;EVENTOUT;TIM5_CH3, I2C4_SDA, FMC_D20, DCMI_D3, LCD_R6, EVENTOUT;;;
VSS;;G10;83;99;N16;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;84;100;;S;;;;;;;;;;;;;;;;;;;;;
PB12;72;M15;85;101;T14;I/O;FT_u;;TIM1_BKIN;;;I2C2_SMBA;SPI2_NSS/I2S2_WS;DFSDM1_DATIN1;USART3_CK;;FDCAN2_RX;OTG_HS_ULPI_D5;ETH_MII_TXD0/ETH_RMII_TXD0;OTG_HS_ID;TIM1_BKIN_COMP12;UART5_RX;EVENTOUT;TIM1_BKIN, I2C2_SMBA, SPI2_NSS/I2S2_WS, DFSDM1_DATIN1, USART3_CK, FDCAN2_RX, OTG_HS_ULPI_D5, ETH_MII_TXD0/ETH_RMII_TXD0, OTG_HS_ID, TIM1_BKIN_COMP12, UART5_RX, EVENTOUT;;4: When the pin is used in USB configuration (OTG_HS_ID/OTG_HS_VBUS), the I/O is supplied by V , otherwise it is DD33USB supplied by V . DD;
PB13;73;L15;86;102;U14;I/O;FT_u;;TIM1_CH1N;;LPTIM2_OUT;;SPI2_SCK/I2S2_CK;DFSDM1_CKIN1;USART3_CTS/USART3_NSS;;FDCAN2_TX;OTG_HS_ULPI_D6;ETH_MII_TXD1/ETH_RMII_TXD1;;;UART5_TX;EVENTOUT;TIM1_CH1N, LPTIM2_OUT, SPI2_SCK/I2S2_CK, DFSDM1_CKIN1, USART3_CTS/USART3_NSS, FDCAN2_TX, OTG_HS_ULPI_D6, ETH_MII_TXD1/ETH_RMII_TXD1, UART5_TX, EVENTOUT;OTG_HS_VBUS;4: When the pin is used in USB configuration (OTG_HS_ID/OTG_HS_VBUS), the I/O is supplied by V , otherwise it is DD33USB supplied by V . DD;
PB14;74;K15;87;103;U15;I/O;FT_u;;TIM1_CH2N;TIM12_CH1;TIM8_CH2N;USART1_TX;SPI2_MISO/I2S2_SDI;DFSDM1_DATIN2;USART3_RTS/USART3_DE;UART4_RTS/UART4_DE;SDMMC2_D0;;;OTG_HS_DM;;;EVENTOUT;TIM1_CH2N, TIM12_CH1, TIM8_CH2N, USART1_TX, SPI2_MISO/I2S2_SDI, DFSDM1_DATIN2, USART3_RTS/USART3_DE, UART4_RTS/UART4_DE, SDMMC2_D0, OTG_HS_DM, EVENTOUT;;;
PB15;75;K14;88;104;T15;I/O;FT_u;RTC_REFIN;TIM1_CH3N;TIM12_CH2;TIM8_CH3N;USART1_RX;SPI2_MOSI/I2S2_SDO;DFSDM1_CKIN2;;UART4_CTS;SDMMC2_D1;;;OTG_HS_DP;;;EVENTOUT;RTC_REFIN, TIM1_CH3N, TIM12_CH2, TIM8_CH3N, USART1_RX, SPI2_MOSI/I2S2_SDO, DFSDM1_CKIN2, UART4_CTS, SDMMC2_D1, OTG_HS_DP, EVENTOUT;;;
PD8;76;L14;89;105;U16;I/O;FT_h;;;;DFSDM1_CKIN3;;;SAI3_SCK_B;USART3_TX;;SPDIFRX1_IN2;;;FMC_D13/FMC_DA13;;;EVENTOUT;DFSDM1_CKIN3, SAI3_SCK_B, USART3_TX, SPDIFRX1_IN2, FMC_D13/FMC_DA13, EVENTOUT;;;
PD9;77;K13;90;106;T17;I/O;FT_h;;;;DFSDM1_DATIN3;;;SAI3_SD_B;USART3_RX;;;;;FMC_D14/FMC_DA14;;;EVENTOUT;DFSDM1_DATIN3, SAI3_SD_B, USART3_RX, FMC_D14/FMC_DA14, EVENTOUT;;;
PD10;78;L13;91;107;T16;I/O;FT_h;;;;DFSDM1_CKOUT;;;SAI3_FS_B;USART3_CK;;;;;FMC_D15/FMC_DA15;;LCD_B3;EVENTOUT;DFSDM1_CKOUT, SAI3_FS_B, USART3_CK, FMC_D15/FMC_DA15, LCD_B3, EVENTOUT;;;
VDD;79;;92;108;N12;S;;;;;;;;;;;;;;;;;;;;;
VSS;80;H6;93;109;U17;S;;;;;;;;;;;;;;;;;;;;;
PD11;81;J13;94;110;R15;I/O;FT_h;;;;LPTIM2_IN2;I2C4_SMBA;;;USART3_CTS/USART3_NSS;;QUADSPI_BK1_IO0;SAI2_SD_A;;FMC_A16;;;EVENTOUT;LPTIM2_IN2, I2C4_SMBA, USART3_CTS/USART3_NSS, QUADSPI_BK1_IO0, SAI2_SD_A, FMC_A16, EVENTOUT;;;
PD12;82;J15;95;111;R16;I/O;FT_fh;;LPTIM1_IN1;TIM4_CH1;LPTIM2_IN1;I2C4_SCL;;;USART3_RTS/USART3_DE;;QUADSPI_BK1_IO1;SAI2_FS_A;;FMC_A17;;;EVENTOUT;LPTIM1_IN1, TIM4_CH1, LPTIM2_IN1, I2C4_SCL, USART3_RTS/USART3_DE, QUADSPI_BK1_IO1, SAI2_FS_A, FMC_A17, EVENTOUT;;;
PD13;83;H15;96;112;R17;I/O;FT_fh;;LPTIM1_OUT;TIM4_CH2;;I2C4_SDA;;;;;QUADSPI_BK1_IO3;SAI2_SCK_A;;FMC_A18;;;EVENTOUT;LPTIM1_OUT, TIM4_CH2, I2C4_SDA, QUADSPI_BK1_IO3, SAI2_SCK_A, FMC_A18, EVENTOUT;;;
VSS;;R1;;113;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;114;N11;S;;;;;;;;;;;;;;;;;;;;;
PD14;84;H14;97;115;P16;I/O;FT_h;;;TIM4_CH3;;;;SAI3_MCLK_B;;UART8_CTS;;;;FMC_D0/FMC_DA0;;;EVENTOUT;TIM4_CH3, SAI3_MCLK_B, UART8_CTS, FMC_D0/FMC_DA0, EVENTOUT;;;
PD15;85;J12;98;116;P15;I/O;FT_h;;;TIM4_CH4;;;;SAI3_MCLK_A;;UART8_RTS/UART8_DE;;;;FMC_D1/FMC_DA1;;;EVENTOUT;TIM4_CH4, SAI3_MCLK_A, UART8_RTS/UART8_DE, FMC_D1/FMC_DA1, EVENTOUT;;;
PJ6;;;;117;N15;I/O;FT;;;;TIM8_CH2;;;;;;;;;;;LCD_R7;EVENTOUT;TIM8_CH2, LCD_R7, EVENTOUT;;;
PJ7;;;;118;N14;I/O;FT;TRGIN;;;TIM8_CH2N;;;;;;;;;;;LCD_G0;EVENTOUT;TRGIN, TIM8_CH2N, LCD_G0, EVENTOUT;;;
VDD;;;99;119;N10;S;;;;;;;;;;;;;;;;;;;;;
VSS;;D6;100;120;R8;S;;;;;;;;;;;;;;;;;;;;;
PJ8;;;101;121;N13;I/O;FT;;TIM1_CH3N;;TIM8_CH1;;;;;UART8_TX;;;;;;LCD_G1;EVENTOUT;TIM1_CH3N, TIM8_CH1, UART8_TX, LCD_G1, EVENTOUT;;;
PJ9;;;102;122;M14;I/O;FT;;TIM1_CH3;;TIM8_CH1N;;;;;UART8_RX;;;;;;LCD_G2;EVENTOUT;TIM1_CH3, TIM8_CH1N, UART8_RX, LCD_G2, EVENTOUT;;;
PJ10;;;103;123;L14;I/O;FT;;TIM1_CH2N;;TIM8_CH2;;SPI5_MOSI;;;;;;;;;LCD_G3;EVENTOUT;TIM1_CH2N, TIM8_CH2, SPI5_MOSI, LCD_G3, EVENTOUT;;;
PJ11;;;104;124;K14;I/O;FT;;TIM1_CH2;;TIM8_CH2N;;SPI5_MISO;;;;;;;;;LCD_G4;EVENTOUT;TIM1_CH2, TIM8_CH2N, SPI5_MISO, LCD_G4, EVENTOUT;;;AF5: stripped 'µ'
VDD;;;105;125;N8;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;;P17;S;;;;;;;;;;;;;;;;;;;;;
VSS;;R15;106;126;U1;S;;;;;;;;;;;;;;;;;;;;;
NC;;;;;N17;;;;;;;;;;;;;;;;;;;;;;
NC;;;;;M16;;;;;;;;;;;;;;;;;;;;;;
NC;;;;;M17;;;;;;;;;;;;;;;;;;;;;;
VSS;;;;;K15;S;;;;;;;;;;;;;;;;;;;;;
NC;;;;;L16;;;;;;;;;;;;;;;;;;;;;;
NC;;;;;L17;;;;;;;;;;;;;;;;;;;;;;
NC;;;;;K16;;;;;;;;;;;;;;;;;;;;;;
NC;;;;;K17;;;;;;;;;;;;;;;;;;;;;;
VSS;;;;;L15;S;;;;;;;;;;;;;;;;;;;;;
PK0;;;107;127;J14;I/O;FT;;TIM1_CH1N;;TIM8_CH3;;SPI5_SCK;;;;;;;;;LCD_G5;EVENTOUT;TIM1_CH1N, TIM8_CH3, SPI5_SCK, LCD_G5, EVENTOUT;;;
PK1;;;108;128;J15;I/O;FT;;TIM1_CH1;;TIM8_CH3N;;SPI5_NSS;;;;;;;;;LCD_G6;EVENTOUT;TIM1_CH1, TIM8_CH3N, SPI5_NSS, LCD_G6, EVENTOUT;;;
PK2;;;109;129;H17;I/O;FT;;TIM1_BKIN;;TIM8_BKIN;;;;;;;TIM8_BKIN_COMP12;TIM1_BKIN_COMP12;;;LCD_G7;EVENTOUT;TIM1_BKIN, TIM8_BKIN, TIM8_BKIN_COMP12, TIM1_BKIN_COMP12, LCD_G7, EVENTOUT;;;
PG2;;G15;110;130;H16;I/O;FT_h;;;;TIM8_BKIN;;;;;;;;TIM8_BKIN_COMP12;FMC_A12;;;EVENTOUT;TIM8_BKIN, TIM8_BKIN_COMP12, FMC_A12, EVENTOUT;;;
PG3;;H13;111;131;H15;I/O;FT_h;;;;TIM8_BKIN2;;;;;;;;TIM8_BKIN2_COMP12;FMC_A13;;;EVENTOUT;TIM8_BKIN2, TIM8_BKIN2_COMP12, FMC_A13, EVENTOUT;;;
VSS;;H10;112;132;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;113;133;N7;S;;;;;;;;;;;;;;;;;;;;;
PG4;;G14;114;134;H14;I/O;FT_h;;TIM1_BKIN2;;;;;;;;;;TIM1_BKIN2_COMP12;FMC_A14/FMC_BA0;;;EVENTOUT;TIM1_BKIN2, TIM1_BKIN2_COMP12, FMC_A14/FMC_BA0, EVENTOUT;;;
PG5;;F15;115;135;G14;I/O;FT_h;;TIM1_ETR;;;;;;;;;;;FMC_A15/FMC_BA1;;;EVENTOUT;TIM1_ETR, FMC_A15/FMC_BA1, EVENTOUT;;;
PG6;86;F14;116;136;G15;I/O;FT_h;;TIM17_BKIN;HRTIM_CHE1;;;;;;;;QUADSPI_BK1_NCS;;FMC_NE3;DCMI_D12;LCD_R7;EVENTOUT;TIM17_BKIN, HRTIM_CHE1, QUADSPI_BK1_NCS, FMC_NE3, DCMI_D12, LCD_R7, EVENTOUT;;;
PG7;87;G13;117;137;F16;I/O;FT_h;;;HRTIM_CHE2;;;;SAI1_MCLK_A;USART6_CK;;;;;FMC_INT;DCMI_D13;LCD_CLK;EVENTOUT;HRTIM_CHE2, SAI1_MCLK_A, USART6_CK, FMC_INT, DCMI_D13, LCD_CLK, EVENTOUT;;;
PG8;88;G12;118;138;F15;I/O;FT_h;;;;TIM8_ETR;;SPI6_NSS;;USART6_RTS/USART6_DE;SPDIFRX1_IN3;;;ETH_PPS_OUT;FMC_SDCLK;;LCD_G7;EVENTOUT;TIM8_ETR, SPI6_NSS, USART6_RTS/USART6_DE, SPDIFRX1_IN3, ETH_PPS_OUT, FMC_SDCLK, LCD_G7, EVENTOUT;;;
VSS;89;J6;119;139;G16;S;;;;;;;;;;;;;;;;;;;;;
VDD50USB;90;E15;120;140;G17;S;;;;;;;;;;;;;;;;;;;;5: When it is not available on a package, the VDD50USB pin is internally tied to VDD33USB.;
VDD33USB;91;F13;121;141;F17;S;;;;;;;;;;;;;;;;;;;;;
VDD;92;;;;M5;S;;;;;;;;;;;;;;;;;;;;;
PC6;93;E14;122;142;F14;I/O;FT_h;;HRTIM_CHA1;TIM3_CH1;TIM8_CH1;DFSDM1_CKIN3;I2S2_MCK;;USART6_TX;SDMMC1_D0DIR;FMC_NWAIT;SDMMC2_D6;;SDMMC1_D6;DCMI_D0;LCD_HSYNC;EVENTOUT;HRTIM_CHA1, TIM3_CH1, TIM8_CH1, DFSDM1_CKIN3, I2S2_MCK, USART6_TX, SDMMC1_D0DIR, FMC_NWAIT, SDMMC2_D6, SDMMC1_D6, DCMI_D0, LCD_HSYNC, EVENTOUT;SWPMI_IO;;
PC7;94;D15;123;143;F13;I/O;FT_h;TRGIO;HRTIM_CHA2;TIM3_CH2;TIM8_CH2;DFSDM1_DATIN3;;I2S3_MCK;USART6_RX;SDMMC1_D123DIR;FMC_NE1;SDMMC2_D7;SWPMI_TX;SDMMC1_D7;DCMI_D1;LCD_G6;EVENTOUT;TRGIO, HRTIM_CHA2, TIM3_CH2, TIM8_CH2, DFSDM1_DATIN3, I2S3_MCK, USART6_RX, SDMMC1_D123DIR, FMC_NE1, SDMMC2_D7, SWPMI_TX, SDMMC1_D7, DCMI_D1, LCD_G6, EVENTOUT;;;
PC8;95;D14;124;144;E13;I/O;FT_h;TRACED1;HRTIM_CHB1;TIM3_CH3;TIM8_CH3;;;;USART6_CK;UART5_RTS/UART5_DE;FMC_NE2/FMC_NCE;;SWPMI_RX;SDMMC1_D0;DCMI_D2;;EVENTOUT;TRACED1, HRTIM_CHB1, TIM3_CH3, TIM8_CH3, USART6_CK, UART5_RTS/UART5_DE, FMC_NE2/FMC_NCE, SWPMI_RX, SDMMC1_D0, DCMI_D2, EVENTOUT;;;
PC9;96;E13;125;145;E14;I/O;FT_fh;MCO2;;TIM3_CH4;TIM8_CH4;I2C3_SDA;I2S_CKIN;;;UART5_CTS;QUADSPI_BK1_IO0;LCD_G3;SWPMI_SUSPEND;SDMMC1_D1;DCMI_D3;LCD_B2;EVENTOUT;MCO2, TIM3_CH4, TIM8_CH4, I2C3_SDA, I2S_CKIN, UART5_CTS, QUADSPI_BK1_IO0, LCD_G3, SWPMI_SUSPEND, SDMMC1_D1, DCMI_D3, LCD_B2, EVENTOUT;;;
VSS;;J7;;;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;126;;L5;S;;;;;;;;;;;;;;;;;;;;;
PA8;97;B14;127;146;E15;I/O;FT_fha;MCO1;TIM1_CH1;HRTIM_CHB2;TIM8_BKIN2;I2C3_SCL;;;USART1_CK;;;OTG_FS_SOF;UART7_RX;TIM8_BKIN2_COMP12;LCD_B3;LCD_R6;EVENTOUT;MCO1, TIM1_CH1, HRTIM_CHB2, TIM8_BKIN2, I2C3_SCL, USART1_CK, OTG_FS_SOF, UART7_RX, TIM8_BKIN2_COMP12, LCD_B3, LCD_R6, EVENTOUT;;;
PA9;98;D13;128;147;D15;I/O;FT_u;;TIM1_CH2;HRTIM_CHC1;LPUART1_TX;I2C3_SMBA;SPI2_SCK/I2S2_CK;;USART1_TX;;;;;;DCMI_D0;LCD_R5;EVENTOUT;TIM1_CH2, HRTIM_CHC1, LPUART1_TX, I2C3_SMBA, SPI2_SCK/I2S2_CK, USART1_TX, DCMI_D0, LCD_R5, EVENTOUT;OTG_FS_VBUS;;
PA10;99;C14;129;148;D14;I/O;FT_u;;TIM1_CH3;HRTIM_CHC2;LPUART1_RX;;;;USART1_RX;;;OTG_FS_ID;MDIOS_MDIO;LCD_B4;DCMI_D1;LCD_B1;EVENTOUT;TIM1_CH3, HRTIM_CHC2, LPUART1_RX, USART1_RX, OTG_FS_ID, MDIOS_MDIO, LCD_B4, DCMI_D1, LCD_B1, EVENTOUT;;;
PA11;100;C15;130;149;E17;I/O;FT_u;;TIM1_CH4;HRTIM_CHD1;LPUART1_CTS;;SPI2_NSS/I2S2_WS;UART4_RX;USART1_CTS/USART1_NSS;;FDCAN1_RX;OTG_FS_DM;;;;LCD_R4;EVENTOUT;TIM1_CH4, HRTIM_CHD1, LPUART1_CTS, SPI2_NSS/I2S2_WS, UART4_RX, USART1_CTS/USART1_NSS, FDCAN1_RX, OTG_FS_DM, LCD_R4, EVENTOUT;;;
PA12;101;B15;131;150;E16;I/O;FT_u;;TIM1_ETR;HRTIM_CHD2;LPUART1_RTS/LPUART1_DE;;SPI2_SCK/I2S2_CK;UART4_TX;USART1_RTS/USART1_DE;SAI2_FS_B;FDCAN1_TX;OTG_FS_DP;;;;LCD_R5;EVENTOUT;TIM1_ETR, HRTIM_CHD2, LPUART1_RTS/LPUART1_DE, SPI2_SCK/I2S2_CK, UART4_TX, USART1_RTS/USART1_DE, SAI2_FS_B, FDCAN1_TX, OTG_FS_DP, LCD_R5, EVENTOUT;;;
PA13(JTMS/SWDIO);102;B13;132;151;C15;I/O;FT;JTMS-SWDIO;;;;;;;;;;;;;;;EVENTOUT;JTMS-SWDIO, EVENTOUT;;;
VCAP;103;A14;133;152;D17;S;;;;;;;;;;;;;;;;;;;;;
VSS;104;M6;134;153;;S;;;;;;;;;;;;;;;;;;;;;
VDDLDO;105;A13;135;154;C17;;;;;;;;;;;;;;;;;;;;;;
VDD;106;;136;155;K5;S;;;;;;;;;;;;;;;;;;;;;
PH13;;C13;;156;D16;I/O;FT_h;;;;TIM8_CH1N;;;;;UART4_TX;FDCAN1_TX;;;FMC_D21;;LCD_G2;EVENTOUT;TIM8_CH1N, UART4_TX, FDCAN1_TX, FMC_D21, LCD_G2, EVENTOUT;;;
PH14;;B12;;157;B17;I/O;FT_h;;;;TIM8_CH2N;;;;;UART4_RX;FDCAN1_RX;;;FMC_D22;DCMI_D4;LCD_G3;EVENTOUT;TIM8_CH2N, UART4_RX, FDCAN1_RX, FMC_D22, DCMI_D4, LCD_G3, EVENTOUT;;;
PH15;;D12;;158;B16;I/O;FT_h;;;;TIM8_CH3N;;;;;;;;;FMC_D23;DCMI_D11;LCD_G4;EVENTOUT;TIM8_CH3N, FMC_D23, DCMI_D11, LCD_G4, EVENTOUT;;;
PI0;;;;159;A16;I/O;FT_h;;;TIM5_CH4;;;SPI2_NSS/I2S2_WS;;;;;;;FMC_D24;DCMI_D13;LCD_G5;EVENTOUT;TIM5_CH4, SPI2_NSS/I2S2_WS, FMC_D24, DCMI_D13, LCD_G5, EVENTOUT;;;
VSS;;J9;;160;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;161;;S;;;;;;;;;;;;;;;;;;;;;
PI1;;;;162;A15;I/O;FT_h;;;;TIM8_BKIN2;;SPI2_SCK/I2S2_CK;;;;;;TIM8_BKIN2_COMP12;FMC_D25;DCMI_D8;LCD_G6;EVENTOUT;TIM8_BKIN2, SPI2_SCK/I2S2_CK, TIM8_BKIN2_COMP12, FMC_D25, DCMI_D8, LCD_G6, EVENTOUT;;;
PI2;;;;163;B15;I/O;FT_h;;;;TIM8_CH4;;SPI2_MISO/I2S2_SDI;;;;;;;FMC_D26;DCMI_D9;LCD_G7;EVENTOUT;TIM8_CH4, SPI2_MISO/I2S2_SDI, FMC_D26, DCMI_D9, LCD_G7, EVENTOUT;;;
PI3;;;;164;C14;I/O;FT_h;;;;TIM8_ETR;;SPI2_MOSI/I2S2_SDO;;;;;;;FMC_D27;DCMI_D10;;EVENTOUT;TIM8_ETR, SPI2_MOSI/I2S2_SDO, FMC_D27, DCMI_D10, EVENTOUT;;;
VSS;;J10;137;;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;;;S;;;;;;;;;;;;;;;;;;;;;
PA14(JTCK/SWCLK);107;A12;138;165;B14;I/O;FT;JTCK-SWCLK;;;;;;;;;;;;;;;EVENTOUT;JTCK-SWCLK, EVENTOUT;;;
PA15(JTDI);108;A11;139;166;A14;I/O;FT;JTDI;TIM2_CH1/TIM2_ETR;HRTIM_FLT1;;CEC;SPI1_NSS/I2S1_WS;SPI3_NSS/I2S3_WS;SPI6_NSS;UART4_RTS/UART4_DE;;;UART7_TX;;;;EVENTOUT;JTDI, TIM2_CH1/TIM2_ETR, HRTIM_FLT1, CEC, SPI1_NSS/I2S1_WS, SPI3_NSS/I2S3_WS, SPI6_NSS, UART4_RTS/UART4_DE, UART7_TX, EVENTOUT;;;
PC10;109;C12;140;167;A13;I/O;FT_ha;;;HRTIM_EEV1;DFSDM1_CKIN5;;;SPI3_SCK/I2S3_CK;USART3_TX;UART4_TX;QUADSPI_BK1_IO1;;;SDMMC1_D2;DCMI_D8;LCD_R2;EVENTOUT;HRTIM_EEV1, DFSDM1_CKIN5, SPI3_SCK/I2S3_CK, USART3_TX, UART4_TX, QUADSPI_BK1_IO1, SDMMC1_D2, DCMI_D8, LCD_R2, EVENTOUT;;;
PC11;110;C11;141;168;B13;I/O;FT_h;;;HRTIM_FLT2;DFSDM1_DATIN5;;;SPI3_MISO/I2S3_SDI;USART3_RX;UART4_RX;QUADSPI_BK2_NCS;;;SDMMC1_D3;DCMI_D4;;EVENTOUT;HRTIM_FLT2, DFSDM1_DATIN5, SPI3_MISO/I2S3_SDI, USART3_RX, UART4_RX, QUADSPI_BK2_NCS, SDMMC1_D3, DCMI_D4, EVENTOUT;;;
PC12;111;B11;142;169;C12;I/O;FT_h;TRACED3;;HRTIM_EEV2;;;;SPI3_MOSI/I2S3_SDO;USART3_CK;UART5_TX;;;;SDMMC1_CK;DCMI_D9;;EVENTOUT;TRACED3, HRTIM_EEV2, SPI3_MOSI/I2S3_SDO, USART3_CK, UART5_TX, SDMMC1_CK, DCMI_D9, EVENTOUT;;;
VSS;;J14;;;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;;;;S;;;;;;;;;;;;;;;;;;;;;
PD0;112;C10;143;170;D13;I/O;FT_h;;;;DFSDM1_CKIN6;;;SAI3_SCK_A;;UART4_RX;FDCAN1_RX;;;FMC_D2/FMC_DA2;;;EVENTOUT;DFSDM1_CKIN6, SAI3_SCK_A, UART4_RX, FDCAN1_RX, FMC_D2/FMC_DA2, EVENTOUT;;;
PD1;113;A10;144;171;E12;I/O;FT_h;;;;DFSDM1_DATIN6;;;SAI3_SD_A;;UART4_TX;FDCAN1_TX;;;FMC_D3/FMC_DA3;;;EVENTOUT;DFSDM1_DATIN6, SAI3_SD_A, UART4_TX, FDCAN1_TX, FMC_D3/FMC_DA3, EVENTOUT;;;
PD2;114;B10;145;172;D12;I/O;FT_h;TRACED2;;TIM3_ETR;;;;;;UART5_RX;;;;SDMMC1_CMD;DCMI_D11;;EVENTOUT;TRACED2, TIM3_ETR, UART5_RX, SDMMC1_CMD, DCMI_D11, EVENTOUT;;;
PD3;115;A9;146;173;B12;I/O;FT_h;;;;DFSDM1_CKOUT;;SPI2_SCK/I2S2_CK;;USART2_CTS/USART2_NSS;;;;;FMC_CLK;DCMI_D5;LCD_G7;EVENTOUT;DFSDM1_CKOUT, SPI2_SCK/I2S2_CK, USART2_CTS/USART2_NSS, FMC_CLK, DCMI_D5, LCD_G7, EVENTOUT;;;
PD4;116;C9;147;174;A12;I/O;FT_h;;;HRTIM_FLT3;;;;SAI3_FS_A;USART2_RTS/USART2_DE;;;;;FMC_NOE;;;EVENTOUT;HRTIM_FLT3, SAI3_FS_A, USART2_RTS/USART2_DE, FMC_NOE, EVENTOUT;;;
PD5;117;B9;148;175;A11;I/O;FT_h;;;HRTIM_EEV3;;;;;USART2_TX;;;;;FMC_NWE;;;EVENTOUT;HRTIM_EEV3, USART2_TX, FMC_NWE, EVENTOUT;;;
VSS;118;K2;;;;S;;;;;;;;;;;;;;;;;;;;;
VDD;119;;;;;S;;;;;;;;;;;;;;;;;;;;;
PD6;120;D9;149;176;B11;I/O;FT_h;;;SAI1_D1;DFSDM1_CKIN4;DFSDM1_DATIN1;SPI3_MOSI/I2S3_SDO;SAI1_SD_A;USART2_RX;SAI4_SD_A;;SAI4_D1;SDMMC2_CK;FMC_NWAIT;DCMI_D10;LCD_B2;EVENTOUT;SAI1_D1, DFSDM1_CKIN4, DFSDM1_DATIN1, SPI3_MOSI/I2S3_SDO, SAI1_SD_A, USART2_RX, SAI4_SD_A, SAI4_D1, SDMMC2_CK, FMC_NWAIT, DCMI_D10, LCD_B2, EVENTOUT;;;
PD7;121;B8;150;177;C11;I/O;FT_h;;;;DFSDM1_DATIN4;;SPI1_MOSI/I2S1_SDO;DFSDM1_CKIN1;USART2_CK;;SPDIFRX1_IN1;;SDMMC2_CMD;FMC_NE1;;;EVENTOUT;DFSDM1_DATIN4, SPI1_MOSI/I2S1_SDO, DFSDM1_CKIN1, USART2_CK, SPDIFRX1_IN1, SDMMC2_CMD, FMC_NE1, EVENTOUT;;;
PJ12;;;;;D11;I/O;FT;TRGOUT;;;;;;;;;LCD_G3;;;;;LCD_B0;EVENTOUT;TRGOUT, LCD_G3, LCD_B0, EVENTOUT;;;
PJ13;;;;;E10;I/O;FT;;;;;;;;;;LCD_B4;;;;;LCD_B1;EVENTOUT;LCD_B4, LCD_B1, EVENTOUT;;;
PJ14;;;;;D10;I/O;FT;;;;;;;;;;;;;;;LCD_B2;EVENTOUT;LCD_B2, EVENTOUT;;;
PJ15;;;;;B10;I/O;FT;;;;;;;;;;;;;;;LCD_B3;EVENTOUT;LCD_B3, EVENTOUT;;;
VSS;;K6;151;178;;S;;;;;;;;;;;;;;;;;;;;;
VDD;;;152;179;;S;;;;;;;;;;;;;;;;;;;;;
PG9;122;A8;153;180;A10;I/O;FT_h;;;;;;SPI1_MISO/I2S1_SDI;;USART6_RX;SPDIFRX1_IN4;QUADSPI_BK2_IO2;SAI2_FS_B;;FMC_NE2/FMC_NCE;DCMI_VSYNC;;EVENTOUT;SPI1_MISO/I2S1_SDI, USART6_RX, SPDIFRX1_IN4, QUADSPI_BK2_IO2, SAI2_FS_B, FMC_NE2/FMC_NCE, DCMI_VSYNC, EVENTOUT;;;
PG10;123;C8;154;181;A9;I/O;FT_h;;;HRTIM_FLT5;;;SPI1_NSS/I2S1_WS;;;;LCD_G3;SAI2_SD_B;;FMC_NE3;DCMI_D2;LCD_B2;EVENTOUT;HRTIM_FLT5, SPI1_NSS/I2S1_WS, LCD_G3, SAI2_SD_B, FMC_NE3, DCMI_D2, LCD_B2, EVENTOUT;;;
PG11;124;A7;155;182;B9;I/O;FT_h;;LPTIM1_IN2;HRTIM_EEV4;;;SPI1_SCK/I2S1_CK;;;SPDIFRX1_IN1;;SDMMC2_D2;ETH_MII_TX_EN/ETH_RMII_TX_EN;;DCMI_D3;LCD_B3;EVENTOUT;LPTIM1_IN2, HRTIM_EEV4, SPI1_SCK/I2S1_CK, SPDIFRX1_IN1, SDMMC2_D2, ETH_MII_TX_EN/ETH_RMII_TX_EN, DCMI_D3, LCD_B3, EVENTOUT;;;
